iter	Passed	Remaining
0	15	7715
1	31	7943
2	48	8099
3	72	8948
4	92	9155
5	112	9267
6	130	9176
7	161	9908
8	213	11673
9	257	12609
10	290	12902
11	319	12990
12	341	12803
13	363	12601
14	382	12363
15	406	12293
16	430	12244
17	451	12102
18	473	11998
19	499	11987
20	527	12036
21	551	11972
22	568	11788
23	589	11690
24	609	11571
25	631	11514
26	654	11465
27	670	11306
28	692	11241
29	706	11067
30	724	10959
31	734	10741
32	747	10583
33	760	10421
34	774	10288
35	785	10122
36	798	9996
37	812	9874
38	821	9707
39	837	9625
40	852	9540
41	865	9440
42	878	9341
43	894	9268
44	908	9186
45	922	9106
46	937	9035
47	946	8913
48	960	8837
49	974	8766
50	984	8671
51	995	8572
52	1009	8514
53	1020	8431
54	1033	8360
55	1045	8290
56	1059	8230
57	1072	8176
58	1086	8123
59	1100	8067
60	1113	8013
61	1123	7938
62	1139	7905
63	1159	7901
64	1174	7859
65	1187	7811
66	1202	7768
67	1215	7724
68	1232	7698
69	1246	7657
70	1262	7625
71	1273	7570
72	1287	7529
73	1301	7493
74	1316	7458
75	1330	7423
76	1341	7370
77	1354	7326
78	1367	7288
79	1382	7258
80	1395	7221
81	1410	7189
82	1424	7155
83	1439	7130
84	1452	7092
85	1465	7054
86	1478	7018
87	1489	6974
88	1513	6987
89	1530	6970
90	1546	6952
91	1568	6955
92	1597	6989
93	1627	7028
94	1653	7048
95	1675	7051
96	1705	7085
97	1730	7096
98	1939	7856
99	1975	7901
100	1990	7862
101	2001	7810
102	2020	7786
103	2034	7746
104	2048	7705
105	2064	7674
106	2082	7647
107	2102	7632
108	2120	7605
109	2148	7618
110	2168	7600
111	2184	7568
112	2199	7531
113	2212	7492
114	2228	7459
115	2242	7422
116	2259	7396
117	2274	7362
118	2291	7335
119	2306	7302
120	2318	7262
121	2347	7273
122	2377	7285
123	2397	7270
124	2423	7269
125	2443	7253
126	2461	7229
127	2486	7225
128	2633	7574
129	2658	7567
130	2679	7546
131	2697	7519
132	2718	7501
133	2736	7474
134	2763	7472
135	2783	7449
136	2801	7421
137	2818	7393
138	2836	7365
139	2853	7337
140	2868	7304
141	2877	7254
142	2890	7214
143	2903	7177
144	2916	7139
145	2929	7103
146	2942	7066
147	2954	7025
148	2968	6991
149	2982	6959
150	3168	7323
151	3194	7313
152	3207	7275
153	3218	7231
154	3233	7197
155	3248	7163
156	3261	7126
157	3277	7093
158	3290	7057
159	3303	7019
160	3316	6983
161	3329	6947
162	3343	6911
163	3354	6873
164	3369	6842
165	3387	6816
166	3408	6796
167	3426	6771
168	3446	6750
169	3467	6731
170	3490	6714
171	3512	6697
172	3534	6680
173	3557	6666
174	3585	6658
175	3611	6649
176	3632	6629
177	3658	6618
178	3672	6586
179	3687	6556
180	3703	6526
181	3717	6495
182	3730	6461
183	3742	6427
184	3755	6394
185	3768	6361
186	3780	6327
187	3790	6290
188	3803	6258
189	3816	6226
190	3829	6195
191	3843	6165
192	3856	6134
193	3869	6103
194	3881	6071
195	3896	6042
196	3910	6014
197	3922	5982
198	3935	5953
199	3948	5922
200	3960	5891
201	3975	5864
202	3989	5836
203	4003	5808
204	4015	5778
205	4028	5749
