project_id,domain,client_type,allocated_time,budget_adequacy,team_size_adequacy,methodology,tz_quality,stakeholder_involvement,risk_skill_gap,actual_duration,delay_percentage,completed_on_time
1,mobile_app,large_corporate,27,0.6444364841550776,1.1433700394758959,agile,0.7143449665286081,0.6100007083751481,False,28,3.703703703703698,True
2,data_analytics,large_corporate,15,0.942066213118075,0.7339661624812016,agile,0.8889041944358251,0.6887514807927391,True,19,26.66666666666666,False
3,enterprise_system,internal,8,0.8341046520865633,1.880418209310447,agile,0.5891406680208574,0.3769745649470382,True,17,112.5,False
4,enterprise_system,large_corporate,16,1.0218308753051892,0.7274508409236184,agile,0.30756563261365155,0.21378360443952527,False,28,75.0,False
5,web_development,large_corporate,9,1.0856543354287993,1.5074928484279781,waterfall,0.43152410456353013,0.7847267872879694,True,13,44.44444444444444,False
6,web_development,sme,8,0.5084955786072095,1.1784722703239168,waterfall,0.7299439787370814,0.8657023443676138,False,9,12.5,False
7,web_development,large_corporate,6,1.2610059829495555,1.1678671463576191,hybrid,0.6904975789932479,0.331305609000189,False,7,16.666666666666675,False
8,data_analytics,sme,4,1.2130142918617408,1.5513725712017574,waterfall,0.6248025037943701,0.46638276054221783,False,4,0.0,True
9,enterprise_system,government,10,0.8662863862065222,0.6939312256818302,agile,0.7463715349509499,0.5487122952671998,False,9,-9.999999999999998,True
10,enterprise_system,large_corporate,13,0.5529359355688183,1.4311880961320083,hybrid,0.7099126802986395,0.5799941584776428,False,16,23.076923076923084,False
11,web_development,government,11,1.2549325397850504,1.6808445003612964,agile,0.9050599115719613,0.6935411539788866,False,8,-27.27272727272727,True
12,data_analytics,government,9,1.4551751604781324,1.7594978610412317,hybrid,0.6688131019826373,0.13744291001978923,False,12,33.33333333333333,False
13,data_analytics,internal,7,0.7401515960220142,0.8387425451512853,agile,0.8228810869604453,0.7493293744606153,True,6,-14.28571428571429,True
14,web_development,government,18,0.8235246137370379,1.8563866701094431,hybrid,0.3989657247731743,0.15577390628146925,False,26,44.44444444444444,False
15,web_development,large_corporate,6,0.683812889481815,1.518604528586419,agile,0.7425460676712545,0.5214597109055811,False,6,0.0,True
16,web_development,large_corporate,19,1.0769361233448396,1.834596721148956,agile,0.9217552947061407,0.8449040220122748,False,16,-15.789473684210531,True
17,mobile_app,large_corporate,7,0.6548413946474549,1.2793930039542776,agile,0.5085858623198667,0.5060937819505567,False,9,28.57142857142858,False
18,mobile_app,sme,8,0.8561939434613794,1.3588466831360828,hybrid,0.8232833498709173,0.234180773891423,False,8,0.0,True
19,mobile_app,government,5,1.197013013934263,1.8866535878401396,hybrid,0.7798314409563483,0.9865304605053637,False,4,-19.999999999999996,True
20,web_development,sme,9,1.0601159830093483,1.8598733606965405,agile,0.247620957497458,0.900356915866837,False,8,-11.111111111111116,True
21,enterprise_system,internal,22,0.8864625643279352,1.2274252227166027,hybrid,0.6652066476992579,0.7941822699025126,False,24,9.090909090909083,True
22,web_development,large_corporate,17,0.9202496018075419,0.9841776842899543,waterfall,0.3041514793606419,0.47036044260928933,True,37,117.64705882352939,False
23,web_development,internal,22,1.0621108826232295,1.1504386083899698,waterfall,0.973855337784473,0.26546115420036803,False,21,-4.545454545454541,True
24,mobile_app,government,17,0.5058647278871613,1.1428700599416497,hybrid,0.8491260021605249,0.9472700632766511,True,18,5.882352941176472,True
25,mobile_app,large_corporate,6,0.5785098684536099,1.0016136249759116,agile,0.28777904099769613,0.5791160138654251,False,5,-16.666666666666664,True
26,enterprise_system,large_corporate,10,1.3812580677630115,0.9760114460661531,agile,0.29740159811814276,0.8671199143487366,False,13,30.000000000000004,False
27,web_development,sme,8,0.5778789890912908,1.805488111071607,hybrid,0.6755790839300952,0.4078855051834832,True,12,50.0,False
28,mobile_app,internal,27,1.2068035962105053,0.6978066889585264,hybrid,0.4759113393385467,0.4017594853715235,False,32,18.518518518518512,False
29,enterprise_system,large_corporate,6,1.4200381641090525,1.5486556549394317,hybrid,0.22792468725848744,0.9869864326066352,False,10,66.66666666666667,False
30,web_development,sme,21,0.7706836043017311,0.8419480720390332,hybrid,0.6333132062664425,0.5696497436453648,False,21,0.0,True
31,enterprise_system,government,21,0.8704914370595143,1.0823082507516886,agile,0.5102760797486776,0.22662588147467166,True,40,90.47619047619047,False
32,web_development,large_corporate,37,1.0689214058447163,0.6861602477887716,hybrid,0.28086119389739417,0.2977072101952367,False,66,78.37837837837837,False
33,web_development,large_corporate,10,1.3817089696385847,0.9779630915976468,agile,0.8415363138047862,0.5337498514534487,False,8,-19.999999999999996,True
34,data_analytics,internal,19,1.44190558726042,1.675789499564139,hybrid,0.9320614122230448,0.1382238194395702,False,27,42.10526315789473,False
35,data_analytics,sme,48,1.239563248111268,1.8390214543661618,agile,0.805275147211304,0.5162805868404704,False,44,-8.333333333333337,True
36,data_analytics,large_corporate,8,0.586619760854694,0.9101380126633138,waterfall,0.857937848013022,0.4770467578721148,False,10,25.0,False
37,mobile_app,government,5,1.1691541555348508,1.2489669749624905,waterfall,0.3731924538128939,0.8014026387875383,False,7,39.99999999999999,False
38,web_development,government,4,0.9103037218726621,1.258453667112089,agile,0.4108583607348808,0.4194477680403176,False,5,25.0,False
39,enterprise_system,large_corporate,19,0.9707009994910616,1.8230054280636279,agile,0.3668220322393502,0.9842938853856394,True,22,15.789473684210531,False
40,mobile_app,large_corporate,4,0.549148390345177,1.6679186740261276,hybrid,0.8120507450924512,0.26269292737081285,True,8,100.0,False
41,web_development,sme,10,0.6910621393463582,1.31830810571527,hybrid,0.9583336631475976,0.6318880164713214,True,13,30.000000000000004,False
42,mobile_app,large_corporate,16,1.2905136075336476,1.5390460806604827,agile,0.7734697653871221,0.18072936730742917,False,17,6.25,True
43,web_development,large_corporate,14,0.9539588330478598,1.7862970754731133,hybrid,0.9051734119036448,0.7604775855945838,False,13,-7.14285714285714,True
44,data_analytics,government,16,0.8016622416311489,0.6133545356357629,waterfall,0.7109592759065382,0.9952783192557744,False,23,43.75,False
45,web_development,sme,14,0.8840190739649582,1.164046043470068,agile,0.5101279204470393,0.837224773976469,False,11,-21.42857142857143,True
46,enterprise_system,sme,26,1.35439951332568,1.8701404341879102,agile,0.5406092919442442,0.6001331866482711,False,24,-7.692307692307687,True
47,mobile_app,government,7,1.248999017404957,1.6364382431815319,hybrid,0.2602571457339239,0.5362672216597228,False,6,-14.28571428571429,True
48,mobile_app,sme,8,0.7723153971810828,1.3599779240677043,hybrid,0.2251657561968209,0.8515269651401622,True,17,112.5,False
49,mobile_app,large_corporate,8,0.6175018402123733,1.3415023378491866,waterfall,0.756380483351262,0.9423766762396518,True,10,25.0,False
50,web_development,government,20,0.7519982216440717,1.0868781366462128,waterfall,0.5507431136089445,0.9902858732182837,False,24,19.999999999999996,False
51,data_analytics,large_corporate,21,1.4207564510547337,1.3287287470981202,agile,0.6417720544437036,0.4568853048080357,False,22,4.761904761904767,True
52,enterprise_system,large_corporate,16,1.0815888378497553,1.5175364792488346,agile,0.646128998097933,0.991825727315061,False,14,-12.5,True
53,data_analytics,government,25,1.0334802087447827,1.18570825380031,agile,0.4219006506666412,0.24033362695644836,False,33,32.00000000000001,False
54,data_analytics,internal,6,1.0963935996924614,1.5998144049490435,agile,0.5807140086635926,0.3281947983387183,False,8,33.33333333333333,False
55,enterprise_system,sme,33,0.8660282657465153,1.8057251181645402,waterfall,0.5766081773341618,0.18011451226050657,False,75,127.2727272727273,False
56,data_analytics,sme,30,1.3071070203195128,0.8165587874588056,hybrid,0.5107417769822856,0.34456466483603354,False,38,26.66666666666666,False
57,web_development,large_corporate,19,1.02328624930025,1.232165831944394,agile,0.8565403067208563,0.79114379645621,True,18,-5.263157894736848,True
58,web_development,large_corporate,35,0.6167479027687955,1.1712281277991134,agile,0.5609312029500768,0.8676319223606047,False,36,2.857142857142847,True
59,web_development,sme,5,0.629065124829063,1.5624507256696192,waterfall,0.6829156196047903,0.8010033805923146,False,5,0.0,True
60,mobile_app,large_corporate,9,1.0368591465026182,0.9498144513611011,hybrid,0.9164160963046608,0.6679592003509266,False,9,0.0,True
61,mobile_app,government,8,1.4365702180708393,1.4963512809331867,hybrid,0.8929868982871381,0.562569861270381,True,8,0.0,True
62,web_development,large_corporate,19,0.8083521216761987,1.8284849384240833,hybrid,0.9123377630233322,0.7378338602922818,False,18,-5.263157894736848,True
63,data_analytics,sme,6,1.3695411688592183,1.1853842397110717,waterfall,0.4160039971720112,0.4517501943404997,False,10,66.66666666666667,False
64,mobile_app,large_corporate,19,1.2640955865788794,1.8754219799709078,hybrid,0.22798599064645028,0.8571775163497316,False,33,73.6842105263158,False
65,web_development,government,28,0.7478124429069068,1.9904292345068697,agile,0.4088534399162634,0.7094710845791069,True,43,53.571428571428584,False
66,mobile_app,sme,18,0.5363407483162425,0.7485288699271329,agile,0.4229658764965669,0.7280242286449676,True,22,22.222222222222232,False
67,web_development,large_corporate,14,0.6018472651423827,0.926274463178802,agile,0.9274882613799744,0.5823423938161641,False,16,14.28571428571428,False
68,data_analytics,large_corporate,7,1.22849393384744,1.9305316520749303,waterfall,0.7193941862703765,0.8967060857900553,False,5,-28.57142857142857,True
69,web_development,government,7,0.6996697380406467,1.9416587610739415,hybrid,0.26536316768178303,0.3268132603111472,True,6,-14.28571428571429,True
70,data_analytics,large_corporate,26,0.8712709205053938,0.7367901855414618,hybrid,0.3083028768088809,0.44303288802494567,False,55,111.53846153846155,False
71,enterprise_system,sme,19,1.001699166006425,0.6209979005279913,agile,0.32454090043358036,0.7998783127099202,True,24,26.315789473684205,False
72,web_development,large_corporate,12,1.225468168450163,0.8255400325589911,agile,0.7043373985351387,0.543474006516404,False,11,-8.333333333333337,True
73,web_development,large_corporate,9,0.6132312232591254,1.9944178967351474,agile,0.7883312204056026,0.9002926120817717,False,8,-11.111111111111116,True
74,data_analytics,sme,4,0.9063664052774615,0.8519994632549616,agile,0.887715128452317,0.41175938778656707,False,4,0.0,True
75,enterprise_system,sme,6,0.9850729091426954,1.3035666494108322,waterfall,0.9525092406449944,0.43239715193768025,False,5,-16.666666666666664,True
76,enterprise_system,sme,38,1.0408270639715398,1.7877848170027155,hybrid,0.36136364590915343,0.8998622104479628,False,33,-13.157894736842103,True
77,enterprise_system,large_corporate,6,1.3183606413952167,0.6285622549634888,hybrid,0.44781798777923926,0.517933288163837,False,9,50.0,False
78,web_development,large_corporate,14,0.6716781950432169,1.4462845751618432,waterfall,0.3922583045958645,0.5645121257822381,False,20,42.85714285714286,False
79,mobile_app,internal,22,1.3078314518266223,0.9878356284174741,hybrid,0.4870092539729102,0.3994873438021115,False,26,18.181818181818187,False
80,web_development,sme,6,1.1928784276966522,1.8072688830156243,waterfall,0.9317320859389995,0.3490029479611737,False,8,33.33333333333333,False
81,data_analytics,government,14,1.0558708141989595,0.9968456089697109,agile,0.6600900535514893,0.6903538397545528,False,12,-14.28571428571429,True
82,enterprise_system,government,21,1.199527870402572,1.5614580083946725,waterfall,0.7905535178595993,0.2078565953870835,True,33,57.14285714285714,False
83,mobile_app,large_corporate,12,0.9120177389516564,1.5439074854263555,waterfall,0.5920953889014255,0.8913453770646184,True,14,16.666666666666675,False
84,web_development,internal,52,0.6383975859681246,0.9100909684034959,hybrid,0.22308633066889963,0.8012828230885971,False,67,28.846153846153854,False
85,mobile_app,large_corporate,4,1.1657652402653673,0.6487188798156901,agile,0.2513563887982515,0.27167343733522253,False,6,50.0,False
86,mobile_app,large_corporate,23,1.0246723066856223,1.172949403299556,agile,0.6303384250143087,0.7246179512421088,True,31,34.78260869565217,False
87,enterprise_system,government,11,1.1393748005427755,1.0048704127522177,agile,0.7750312278560205,0.6423696291570713,False,9,-18.181818181818176,True
88,enterprise_system,sme,19,0.83799878102849,1.732568849459192,hybrid,0.3722644220229852,0.2660815456629797,False,13,-31.57894736842105,True
89,data_analytics,sme,16,1.4068665773398359,1.7205098638374832,agile,0.7775276591938434,0.3458831554452092,False,13,-18.75,True
90,mobile_app,large_corporate,8,1.087369868575577,1.2398335330696755,hybrid,0.8485326187868101,0.468087853360451,True,9,12.5,False
91,web_development,sme,14,0.5854024842908738,1.4491171154525064,hybrid,0.529517982689689,0.7293184617209265,False,10,-28.57142857142857,True
92,enterprise_system,internal,4,0.9498039907044287,1.4459633223816952,agile,0.7971353862752839,0.6748510679353054,False,4,0.0,True
93,enterprise_system,large_corporate,17,1.2563560547436343,1.7580214077986724,waterfall,0.523223960262768,0.5790113629090281,False,17,0.0,True
94,enterprise_system,large_corporate,15,1.2941345617322724,1.1950033797724764,hybrid,0.742680503564016,0.7915694888026308,True,14,-6.666666666666665,True
95,enterprise_system,large_corporate,18,0.9945970527637588,0.9856253517067126,agile,0.8111976394556344,0.7821439656455493,False,14,-22.22222222222222,True
96,mobile_app,sme,23,1.394747570831301,0.9710488853967665,hybrid,0.9935412946464888,0.6560732386560303,False,17,-26.086956521739136,True
97,mobile_app,large_corporate,15,0.7676684371942976,1.3506691909950859,agile,0.4763173296508769,0.8082910750463427,False,16,6.666666666666665,True
98,mobile_app,sme,13,0.9105986972382666,1.2288074838250975,agile,0.5288326244596893,0.4008370373012883,False,20,53.846153846153854,False
99,web_development,sme,7,1.39859691056897,1.2161690793789106,hybrid,0.3324960475281371,0.8931245754903451,False,7,0.0,True
100,web_development,large_corporate,8,1.396256716471579,0.7275922747255901,hybrid,0.3632584467214455,0.6534190772217466,False,10,25.0,False
101,web_development,internal,25,1.185712768824681,1.6060452369662737,hybrid,0.7547160020787023,0.8401271624311875,True,22,-12.0,True
102,enterprise_system,large_corporate,29,1.3589805471222203,0.8992313631746749,waterfall,0.9336364721235808,0.5916511943112556,False,26,-10.344827586206895,True
103,mobile_app,government,11,0.5887732669562327,0.8757350822922099,hybrid,0.5156839613289925,0.2965944204898123,True,26,136.36363636363637,False
104,mobile_app,sme,13,1.3649949762077762,1.1778616483883506,hybrid,0.343875557468433,0.5881691158104778,True,18,38.46153846153846,False
105,data_analytics,sme,7,0.8206199065502268,0.918889678264922,hybrid,0.4280795995063953,0.4340004973989293,False,10,42.85714285714286,False
106,web_development,large_corporate,25,0.6783315124282163,1.4174015742312216,waterfall,0.5640413638465109,0.727749132433385,False,29,15.999999999999993,False
107,mobile_app,sme,18,0.7393698363420463,1.1200486750682601,agile,0.4325202634922947,0.5282144125612622,False,35,94.44444444444444,False
108,enterprise_system,internal,39,0.9179685080138871,1.228476411629906,hybrid,0.38686326649749303,0.8525015244349189,False,34,-12.82051282051282,True
109,web_development,large_corporate,7,0.7511920046044672,1.3520370502456402,agile,0.7887875910056636,0.710265261089725,False,7,0.0,True
110,web_development,internal,10,0.820567586016499,0.8849497314745267,waterfall,0.20627593699249858,0.7160899897281916,True,17,70.0,False
111,web_development,government,14,0.6349784860716421,0.8180522720117417,agile,0.6313844218691865,0.2954398001419585,True,24,71.42857142857142,False
112,web_development,large_corporate,18,0.7961767655589985,1.8325906640230465,waterfall,0.8350134456238032,0.9858247898421614,True,19,5.555555555555558,True
113,data_analytics,government,11,1.072283814542001,1.2072131839639892,agile,0.4129826290539746,0.8575076883443399,False,6,-45.45454545454546,True
114,data_analytics,sme,7,0.941853708091064,1.1769310534855548,agile,0.6826332084896138,0.8101043961046251,True,7,0.0,True
115,enterprise_system,sme,21,0.8467187612359112,0.6498570103819781,hybrid,0.7351200844948942,0.39719370264402476,False,28,33.33333333333333,False
116,data_analytics,government,19,1.246452128857114,1.2971668236223506,agile,0.7240197571240721,0.5820684875625087,False,18,-5.263157894736848,True
117,data_analytics,large_corporate,7,1.393509971393318,1.3758376102554002,waterfall,0.5566797073589742,0.22339286926689578,True,11,57.14285714285714,False
118,web_development,sme,27,1.256789222902397,1.382377219336533,agile,0.4772623903006234,0.5846283789964354,True,26,-3.703703703703709,True
119,data_analytics,government,25,0.8320007021176792,1.589843637052038,agile,0.8687392584222509,0.23130032183495855,False,28,12.00000000000001,False
120,mobile_app,sme,13,1.2444421678375537,0.8484745689874165,agile,0.8067567655998915,0.5977340595906411,False,11,-15.384615384615385,True
121,data_analytics,sme,13,0.6519801824740512,0.9531123879228662,hybrid,0.45700413873113005,0.683849692139415,False,14,7.692307692307687,True
122,data_analytics,large_corporate,17,0.6303179880912909,1.7350226513225775,agile,0.2824153555537649,0.4511763705249121,False,19,11.764705882352944,False
123,mobile_app,internal,7,0.8456270370361589,1.9260388635807515,hybrid,0.25744603635637536,0.5486903904981639,False,14,100.0,False
124,web_development,large_corporate,12,1.307702369044057,0.7903058463142488,agile,0.27542078231914885,0.8880880489071273,False,13,8.333333333333325,True
125,web_development,internal,4,0.7463482472423019,1.2967093763073054,agile,0.6662954889536343,0.19770683023252844,False,5,25.0,False
126,mobile_app,sme,21,0.5632534088986796,0.8998467538354216,agile,0.24132974066319177,0.8125596036996876,False,27,28.57142857142858,False
127,data_analytics,sme,5,0.6317095352063551,0.6841024356969754,agile,0.46954149997123074,0.2536790958965768,False,7,39.99999999999999,False
128,data_analytics,government,30,1.3587449685295803,1.0557046733765896,hybrid,0.8025597615313835,0.13303718452416557,False,39,30.000000000000004,False
129,web_development,sme,10,1.1337832847472877,0.8011626752578977,hybrid,0.4354785332123025,0.267017142470543,False,14,39.99999999999999,False
130,mobile_app,large_corporate,11,0.7532011633699767,1.5939063028079445,waterfall,0.8106464617441038,0.7885388709734408,False,10,-9.090909090909093,True
131,mobile_app,government,8,1.0552958253281814,1.347215579140022,agile,0.7963736305656444,0.464613466003174,True,11,37.5,False
132,web_development,government,10,1.0275796224253504,0.8013682593864352,agile,0.3966617061065731,0.8852684651615638,False,11,10.000000000000009,False
133,web_development,large_corporate,29,1.1554359784406611,0.6129382237677201,agile,0.7830577440741964,0.5722367870640392,False,30,3.4482758620689724,True
134,mobile_app,large_corporate,4,0.7331875544216163,1.7314198686338975,hybrid,0.7982213106176805,0.12002531673369787,False,5,25.0,False
135,data_analytics,sme,26,1.3644029871943977,0.8466721686299465,agile,0.5179631405336216,0.7450422486417341,True,23,-11.538461538461542,True
136,mobile_app,sme,15,0.8093685620800128,1.4487032991090723,hybrid,0.3683363869932146,0.19920961784910945,False,18,19.999999999999996,False
137,mobile_app,government,6,1.1941316539762368,1.0716906783074438,agile,0.6170166455134953,0.810441670115732,True,4,-33.333333333333336,True
